galaxy_id,sample_branch,control_tier,n_realizations,n_valid_realizations,observed_statistic,control_median,control_mean,control_std,control_p05,control_p16,control_p84,control_p95,empirical_percentile_observed,empirical_p_two_sided,finite_status,notes
G0013,partial_rank_134,circular_shift_control_partial_rank,17,17,0.59927672283949829,-0.21426070119062329,-0.044125669232944531,0.50806632519240424,-0.56738372281645844,-0.55310542194170964,0.55188933147690911,0.8328472763286453,0.82352941176470584,0.22222222222222221,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0013,partial_rank_134,circular_shift_control_partial_rank_absolute,17,17,0.59927672283949829,0.50069522321922744,0.44704925943973145,0.24540868997278129,0.015427697873932458,0.2050156884321869,0.66471273979536982,0.8328472763286453,0.82352941176470584,0.22222222222222221,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0013,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,0.59927672283949829,0.0044209796006417709,0.0027067226488548695,0.24402041397261087,-0.39762532968348646,-0.24386922766225588,0.24972805773113141,0.39803871352195014,0.99299999999999999,0.014985014985014986,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0013,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.59927672283949829,0.17214432778388056,0.19677772061013674,0.14433231604301644,0.01459240774778489,0.052609378722426756,0.33602475353514816,0.47873692586618083,0.98599999999999999,0.014985014985014986,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0013,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.63151209323736435,0.63151209323736412,0.63151209323736424,1.1102230246251565e-16,0.63151209323736412,0.63151209323736412,0.63151209323736435,0.63151209323736435,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0013,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.57355127002637074,0.57355127002637063,0.57355127002637074,1.0792601309996586e-16,0.57355127002637052,0.57355127002637063,0.57355127002637074,0.57355127002637074,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0013,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0013,spectral_control_76,smooth_profile_linear_reference,1,1,,0.55293651198333094,0.55293651198333094,0,0.55293651198333094,0.55293651198333094,0.55293651198333094,0.55293651198333094,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0013,spectral_control_76,smooth_profile_quadratic_reference,1,1,,0.57036991400033354,0.57036991400033354,0,0.57036991400033354,0.57036991400033354,0.57036991400033354,0.57036991400033354,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0014,partial_rank_134,circular_shift_control_partial_rank,14,14,0.08197433160707554,-0.067477646092078597,-0.012989332491612274,0.50209128370764633,-0.768217431720434,-0.56710518276740152,0.52021766111323853,0.71690558563925011,0.5714285714285714,0.93333333333333335,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0014,partial_rank_134,circular_shift_control_partial_rank_absolute,14,14,0.08197433160707554,0.41907230066196438,0.43108901334405469,0.25773366584095925,0.074895774459087391,0.1626770343427108,0.72032370902173848,0.78768136116351184,0.071428571428571425,0.93333333333333335,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0014,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,0.08197433160707554,0.022510344457857566,0.017140917614721075,0.28343782050641336,-0.45952866006461035,-0.27465195768444617,0.30663275049158567,0.46038837763637419,0.58499999999999996,0.77322677322677325,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0014,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.08197433160707554,0.20525741126657721,0.23078332749124725,0.16543840213858504,0.018980772803619924,0.058274308518939694,0.40589513852724268,0.53341771655276438,0.22700000000000001,0.77322677322677325,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0015,partial_rank_134,circular_shift_control_partial_rank,12,12,-0.80710567055699511,0.078686734449851053,0.060425414538183148,0.67280099555970796,-0.78520135540175262,-0.67908076871496381,0.83287287352716743,0.91202373894480804,0.083333333333333329,0.38461538461538464,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0015,partial_rank_134,circular_shift_control_partial_rank_absolute,12,12,0.80710567055699511,0.69821206006148873,0.63327264648649784,0.23511309100140004,0.28094197307389945,0.3577269596037122,0.85762620586154092,0.91202373894480804,0.66666666666666663,0.38461538461538464,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0015,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.80710567055699511,-0.013778519698492135,-0.0064214532468700259,0.3064676042282381,-0.50625248440631498,-0.32597394278610042,0.31181047899076897,0.5065595470275811,0,0.004995004995004995,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0015,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.80710567055699511,0.22178485462337397,0.25128184232876388,0.17555928690633255,0.02267675033334568,0.073596781729673849,0.43384721112783892,0.58864198368369325,0.996,0.004995004995004995,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0016,partial_rank_134,circular_shift_control_partial_rank,13,13,0.32888139743865774,-0.19843249285347181,-0.019728967026392815,0.4569642806144541,-0.58863098514503565,-0.5272444000762625,0.563272575266063,0.65358787852553635,0.69230769230769229,0.6428571428571429,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0016,partial_rank_134,circular_shift_control_partial_rank_absolute,13,13,0.32888139743865774,0.43052900239003561,0.40993288396623789,0.20288079391735664,0.10855214957471454,0.19240319881850229,0.59990690719415396,0.67717589381950583,0.38461538461538464,0.6428571428571429,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
