panel,sample_branch,control_tier,value_type,statistic_value,galaxy_id,realization,notes
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_median,0.5648055879986511,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p05,0.14115325166075965,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p95,0.84783916445065466,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,observed,-0.6188991867444803,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_median,-0.0068525260345029416,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p05,-0.43528920877457117,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p95,0.44853152127076168,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,observed,0.6188991867444803,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_median,0.19374311793239096,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p05,0.016209157343576273,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank_absolute,control_p95,0.50916370073935124,G0007,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,observed,-0.46769017184596318,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_median,0.072844787953133899,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p05,-0.59759710613519856,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p95,0.62410571883658772,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,observed,0.46769017184596318,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_median,0.45905327114747252,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p05,0.094253829626688698,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank_absolute,control_p95,0.63033860587557455,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,observed,-0.46769017184596318,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_median,-0.017743679426495206,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,shuffle_surrogate_partial_rank,control_p05,-0.46482230284983689,G0008,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
